"FindingId","ApplicationStatus","Risk","Fixed","File","Line","Method","ApiRoutes","VulnerabilityType","OriginalCode","RefactoredCode","Notes"
"L003","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","1197","CHECK_REGISTERED_MOBILE_NO","Legacy callers","SQL Injection","cmd = New SqlCommand(""declare @isexi int select @isexi = [TrainingPlan].[f_tp_get_tp_sponosr_ahuthorised_person_rmn] ('"" + Mobileno + ""','"" + sponsorid + ""') select @isexi"", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L004","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","1213","chk_reg_mob_no","Legacy callers","SQL Injection","cmd = New SqlCommand(""declare @isexi int select @isexi = [TrainingPlan].[f_tp_get_participant_rmn] ('"" + mobileno + ""','"" + trainingid + ""','"" + sponsorid + ""',null) select @isexi"", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L005","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","1215","chk_reg_mob_no","Legacy callers","SQL Injection","cmd = New SqlCommand(""declare @isexi int select @isexi = [TrainingPlan].[f_tp_get_participant_rmn] ('"" + mobileno + ""','"" + trainingid + ""','"" + sponsorid + ""','"" + participantid + ""') select @isexi"", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L006","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","1522","CheckDocumentStatus","Legacy callers","SQL Injection","cmd = New SqlCommand("" SELECT [TrainingPlan].[F_CheckDocumentStatus] ('"" & Trainingid & ""','"" & DocumentStatus & ""','"" & Actiondate & ""') "", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L007","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","1749","CheckBillStatus","Legacy callers","SQL Injection","cmd = New SqlCommand("" SELECT [TrainingPlan].[F_CheckBillStatus] ('"" & Trainingid & ""',NULL )"", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L008","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","1751","CheckBillStatus","Legacy callers","SQL Injection","cmd = New SqlCommand("" SELECT [TrainingPlan].[F_CheckBillStatus] ('"" & Trainingid & ""','"" & Sponsorid & ""') "", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L009","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","2053","SEARCH_TRAINING_Subject","Legacy callers","SQL Injection","cmd = New SqlCommand(""select * from [TrainingPlan].[F_search_subject] (N'"" + searchtxt + ""') "", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L010","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","2216","GET_TRAINING_Details","Legacy callers","SQL Injection","cmd = New SqlCommand(""Select * from [TRAININGPLAN].[f_tp_get_training_no] (N'"" + trainingcode + ""','"" + employeeid + ""',"" + Doctypeid + "","" + isForwarded + "",N'"" + FromDate + ""',N'"" + ToDate + ""','"" + BranchID + ""') "", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L011","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","2231","CHECK_Mobile_No_For_Agency","Legacy callers","SQL Injection","cmd = New SqlCommand(""declare @isexi int select @isexi = [TrainingPlan].[f_tp_check_mobile_no_for_agencytype] ('"" + Mobileno + ""','"" + AgencyTypeID + ""','"" + columnid + ""',null) select @isexi"", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L012","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","2233","CHECK_Mobile_No_For_Agency","Legacy callers","SQL Injection","cmd = New SqlCommand(""declare @isexi int select @isexi = [TrainingPlan].[f_tp_check_mobile_no_for_agencytype] ('"" + Mobileno + ""','"" + AgencyTypeID + ""','"" + columnid + ""','"" + Agencyid + ""') select @isexi"", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L013","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","2252","TRG_SEARCH_COURSE","Legacy callers","SQL Injection","cmd = New SqlCommand(""select * from [TrainingPlan].[F_search_coursename] (N'"" + searchtxt + ""',NULL) "", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L014","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","2254","TRG_SEARCH_COURSE","Legacy callers","SQL Injection","cmd = New SqlCommand(""select * from [TrainingPlan].[F_search_coursename] (N'"" + searchtxt + ""','"" + coursecategory + ""') "", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L015","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","3116","Get_TRG_FOR_Feedback","Legacy callers","SQL Injection","cmd = New SqlCommand(""select * from [TrainingPlan].[f_tp_trgid_for_feedback] ('"" + mobileno + ""') "", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L016","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","3239","CHECK_EXISTING_Columnvalue","Legacy callers","SQL Injection","cmd = New SqlCommand(""declare @isexi int select @isexi = [YUSER].[fs_yuser_check_duplicate_agency_column_value] ('"" + Searchvalue + ""','"" + agencytypeid + ""','"" + columnid + ""','"" + agencyid + ""') select @isexi"", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L017","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","3241","CHECK_EXISTING_Columnvalue","Legacy callers","SQL Injection","cmd = New SqlCommand(""declare @isexi int select @isexi = [YUSER].[fs_yuser_check_duplicate_agency_column_value] ('"" + Searchvalue + ""','"" + agencytypeid + ""','"" + columnid + ""',null) select @isexi"", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L018","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","3288","CHECK_EXISTING_Columnvalue_Reg","Legacy callers","SQL Injection","cmd = New SqlCommand(""declare @isexi int select @isexi = [YUser].[fs_yuser_check_duplicate_value_on_faculty_reg] ('"" + Searchvalue + ""','"" + agencytypeid + ""','"" + columnid + ""','"" + agencyid + ""') select @isexi"", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L019","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","3290","CHECK_EXISTING_Columnvalue_Reg","Legacy callers","SQL Injection","cmd = New SqlCommand(""declare @isexi int select @isexi = [YUser].[fs_yuser_check_duplicate_value_on_faculty_reg] ('"" + Searchvalue + ""','"" + agencytypeid + ""','"" + columnid + ""',null) select @isexi"", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L020","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","3683","Get_Proposal_Cost","Legacy callers","SQL Injection","cmd = New SqlCommand(""Select * from Trainingplan.F_GetTrainingAmount_for_proposal (N'"" + isjoint + ""',"" + isresidential + "","" + proposedcandidate + "",'"" + duration + ""','"" + nooftrainings + ""','"" + effectivedate + ""')"", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L021","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","3802","CHECK_REGISTERED_MAIL_ID","Legacy callers","SQL Injection","cmd = New SqlCommand(""declare @isexi int select @isexi = [TrainingPlan].[f_tp_get_tp_sponosr_ahuthorised_person_email] ('"" + mailid + ""',null) select @isexi"", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L022","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","3804","CHECK_REGISTERED_MAIL_ID","Legacy callers","SQL Injection","cmd = New SqlCommand(""declare @isexi int select @isexi = [TrainingPlan].[f_tp_get_tp_sponosr_ahuthorised_person_email] ('"" + mailid + ""','"" + sponsorid + ""') select @isexi"", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L023","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","3821","CHECK_USERNAME_MOBILE_MAIL_IN_USER","Legacy callers","SQL Injection","cmd = New SqlCommand(""declare @isexi int select @isexi = [yuser].[fs_yuser_check_username_rmn_email] ('"" + checkvalue + ""',null,'"" + type + ""') select @isexi"", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L024","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","3823","CHECK_USERNAME_MOBILE_MAIL_IN_USER","Legacy callers","SQL Injection","cmd = New SqlCommand(""declare @isexi int select @isexi = [yuser].[fs_yuser_check_username_rmn_email] ('"" + checkvalue + ""','"" + userid + ""','"" + type + ""') select @isexi"", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L025","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","4416","CHECK_REGISTERED_MOBILE_NO_FOR_FEEDBACK","Legacy callers","SQL Injection","cmd = New SqlCommand(""select * from [TrainingPlan].[ft_tp_get_participant_rmn] ('"" + Mobileno + ""')"", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L026","Legacy-not-compiled","Critical","No","DBContext/old/Datamanager.vb","5211","Get_DATA_FROM_TABLES","GetTableData","Dynamic SQL identifier / arbitrary statement suffix","cmd.CommandText = ""select * from "" + tablename","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L027","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","5339","TRG_GET_DOCUMENT_STATUS","Legacy callers","SQL Injection","cmd = New SqlCommand(""Declare @s int Select @s = [TRAININGPLAN].[fs_tp_get_training_document_status] ('"" + procedurefor + ""','"" + doctypeid + ""',N'"" + documentid + ""') Select @s "", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L028","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","5358","Get_EMPLOYEE_DATA_TO_SEND_SMS_MAIL","Legacy callers","SQL Injection","cmd = New SqlCommand(""select * from [Yuser].[F_yuser_get_employee_mobile_email] ('"" + employeeid + ""')"", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L029","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","5492","Check_TRG_CODE_EXIST","Legacy callers","SQL Injection","cmd = New SqlCommand(""select trainingid from [TrainingPlan].[f_tp_training_detail_from_code] (Null,'"" + fromdate + ""','"" + todate + ""','"" + code + ""',0,null)"", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L030","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","5634","GET_TRG_DATA","Legacy callers","SQL Injection","cmd = New SqlCommand(""select * from [TrainingPlan].[f_tp_training_detail_from_code] (Null,Null,Null,Null,0,'"" + Trainingid + ""')"", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L031","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","5793","CHECK_HONORARIUM_STATUS","Legacy callers","SQL Injection","cmd = New SqlCommand(""declare @isexi int select @isexi = [TrainingPlan].[fs_tp_get_honorarium_payment_status] ('"" + docid + ""','"" + procedurefor + ""') select @isexi"", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L032","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","5875","CHECK_REGISTERED_MOBILE_NO_FOR_PARTICIPANT","Legacy callers","SQL Injection","cmd = New SqlCommand(""select * from [TrainingPlan].[f_tp_chk_rmn_for_feedback] ('"" + Mobileno + ""')"", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L033","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","5998","GET_TRAINING_MINIMUM_PARTICIPANT","Legacy callers","SQL Injection","cmd = New SqlCommand(""select * from Trainingplan.[ft_tp_get_min_participant] ('"" + TrainingCategory + ""',"" + Duration + "",'"" + DurationType + ""','"" + effectivedate + ""') "", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L034","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","6564","Get_EMPLOYEE_Data","Legacy callers","SQL Injection","cmd = New SqlCommand(""select * from YUSER.[HR_GetEmployeeDetails] (null,'"" + tillDate + ""','"" + isWithLeftRequired + ""')"", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L035","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","6566","Get_EMPLOYEE_Data","Legacy callers","SQL Injection","cmd = New SqlCommand(""select * from YUSER.[HR_GetEmployeeDetails] ('"" + agencyid + ""','"" + tillDate + ""','"" + isWithLeftRequired + ""')"", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L036","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","6710","CHECK_REGISTERED_MOBILE_NO_OR_CODE_FOR_VIRTUAL_CLASS","Legacy callers","SQL Injection","cmd = New SqlCommand(""declare @isexi int select @isexi = [TrainingPlan].[f_tp_chk_duplicate_entry_for_virtual_class] ('"" + checkval + ""','"" + type + ""') select @isexi "", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L037","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","6967","TRG_CHECK_FEES_STATUS","Legacy callers","SQL Injection","cmd = New SqlCommand(""Declare @s int Select @s = [TRAININGPLAN].[F_proc_tp_check_used_fees] ('"" + feesid + ""') Select @s "", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L038","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","6986","chk_reg_mob_no_new","Legacy callers","SQL Injection","Dim da As New SqlDataAdapter(""select * from [TrainingPlan].[f_tp_participant_data_by_rmn] ('"" + mobileno + ""')"", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L039","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","6999","chk_reg_mailid","Legacy callers","SQL Injection","Dim da As New SqlDataAdapter(""select * from [TrainingPlan].[f_tp_participant_data_by_email] ('"" + mailid + ""')"", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L040","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","7511","GetTraningCodeBy_Time_table","Legacy callers","SQL Injection","cmd = New SqlCommand(""select distinct ttttt_trainingid,bd.TrainingCode from TrainingPlan.tbl_tp_trg_time_table ttt inner join trainingplan.trainingbasicdetails bd on bd.trainingid=ttt.ttttt_trainingid where ttttt_timetableid='"" + timetableid + ""'"", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L041","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","7530","GetTraningCodeBy_TRG","Legacy callers","SQL Injection","cmd = New SqlCommand(""select distinct trainingid,trainingcode from [TrainingPlan].[Vw_tp_trg_time_table] where trainingid='"" + trainingid + ""'"", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L042","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","7559","chk_reg_mailid_New","Legacy callers","SQL Injection","Dim da As New SqlDataAdapter(""select * from [TrainingPlan].[ft_tp_get_participant_by_regemail] ('"" + mailid + ""')"", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L043","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","8023","GetDMS_Last_Status","Legacy callers","SQL Injection","cmd = New SqlCommand(""select * from DMS.VW_dms_doc_last_status where tdds_doc_id='"" + docid + ""'"", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L044","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","8038","GetDMS_Last_Status_By_Type","Legacy callers","SQL Injection","cmd = New SqlCommand(""select tdds_tat_type_id,tdds_doc_id,tdds_status from DMS.VW_dms_doc_last_status where tdds_tat_type_id='"" + typeid + ""'"", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L045","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","8792","GENERATE_NEW_DMS_DOC_NO","Legacy callers","SQL Injection","cmd = New SqlCommand(""select [DMS].[f_dms_doc_ref_no]('"" + docdate + ""','"" + BranchId + ""','"" + tat_type_id + ""','"" + docprefix + ""','"" + repeattype + ""') "", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L046","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","8806","Get_Trg_All_User_Details","Legacy callers","SQL Injection","cmd = New SqlCommand(""select * from trainingplan.Vw_tp_trg_all_user where trainingid='"" + trainingid + ""'"", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L047","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","9735","Get_QUES_SKILL_List","Legacy callers","SQL Injection","cmd = New SqlCommand(""SELECT distinct value as SkillTag FROM eval.Questions CROSS APPLY STRING_SPLIT(SkillTag, ',') where [Training.TrainingCategoryID]= '"" + trainingcategoryid + ""' "", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L048","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","9754","Get_TRG_SESS_TEST_List","Legacy callers","SQL Injection","cmd = New SqlCommand(""select * from eval.TestQuestions where [Training.TrainingID]='"" + trainingid + ""'"", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L049","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","11454","Get_PARTICULAR_SESSION_DETAILS","Legacy callers","SQL Injection","cmd = New SqlCommand(""Select * from Trainingplan.Vw_tp_trg_time_table where ttttt_session_id='"" + Sessionid + ""' "", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L050","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","11657","Save_Assignment_Rollback","Legacy callers","SQL Injection","Dim cmd5 = New SqlCommand(""Declare @UserCode Nvarchar(500) Select @UserCode= [DMS].[f_dms_doc_ref_no](getdate(),'"" + branchid + ""','123','$$','Year') select @UserCode as docno"", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L051","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","12627","Get_Training_Trg_Types","Legacy callers","SQL Injection","cmd = New SqlCommand(""select TrainingId,trg_type from TrainingPlan.VW_Training_calendar where TrainingId='"" + trainingid + ""'"", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L052","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","12641","Get_Training_Trg_Types_By_Code","Legacy callers","SQL Injection","cmd = New SqlCommand(""select TrainingId,trg_type from TrainingPlan.VW_Training_calendar where Trainingcode='"" + code + ""'"", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L053","Legacy-not-compiled","Critical","No","DBContext/old/Datamanager.vb","6613","Get_DATA_FROM_TABLE_NEW","GetTableData_New","Arbitrary SQL execution","cmd.CommandText = tablename","Not changed: complete SQL text cannot be parameterized.","Caller controls the entire SQL command."
